DOI,PMID,PMCID,Year,Citation_Count,Title,Journal,Authors,Citation_Bins
10.1186/gb-2004-5-10-r80,15461798.0,PMC545600,2004.0,8231,Bioconductor: open software development for computational biology and bioinformatics.,,"Gentleman RC, Carey VJ, Bates DM, Bolstad B, Dettling M, Dudoit S, Ellis B, Gautier L, Ge Y, Gentry J, Hornik K, Hothorn T, Huber W, Iacus S, Irizarry R, Leisch F, Li C, Maechler M, Rossini AJ, Sawitzki G, Smith C, Smyth G, Tierney L, Yang JY, Zhang J",5000-10000
10.1093/bioinformatics/btp120,19289445.0,PMC2672628,2009.0,8041,TopHat: discovering splice junctions with RNA-Seq.,,"Trapnell C, Pachter L, Salzberg SL",5000-10000
10.1038/nmeth.3337,25822800.0,PMC4739640,2015.0,7150,Robust enumeration of cell subsets from tissue expression profiles.,,"Newman AM, Liu CL, Green MR, Gentles AJ, Feng W, Xu Y, Hoang CD, Diehn M, Alizadeh AA",5000-10000
10.1038/ng.806,21478889.0,PMC3083463,2011.0,6975,A framework for variation discovery and genotyping using next-generation DNA sequencing data.,,"DePristo MA, Banks E, Poplin R, Garimella KV, Maguire JR, Hartl C, Philippakis AA, del Angel G, Rivas MA, Hanna M, McKenna A, Fennell TJ, Kernytsky AM, Sivachenko AY, Cibulskis K, Gabriel SB, Altshuler D, Daly MJ",5000-10000
10.1093/molbev/msab120,33892491.0,PMC8233496,2021.0,6307,MEGA11: Molecular Evolutionary Genetics Analysis Version 11.,,"Tamura K, Stecher G, Kumar S",5000-10000
10.1186/s13643-016-0384-4,27919275.0,PMC5139140,2016.0,6293,Rayyan-a web and mobile app for systematic reviews.,,"Ouzzani M, Hammady H, Fedorowicz Z, Elmagarmid A",5000-10000
10.1038/nmeth.4197,28263959.0,PMC5600148,2017.0,6025,Salmon provides fast and bias-aware quantification of transcript expression.,,"Patro R, Duggal G, Love MI, Irizarry RA, Kingsford C",5000-10000
10.1038/nbt.4096,29608179.0,PMC6700744,2018.0,5833,"Integrating single-cell transcriptomic data across different conditions, technologies, and species.",,"Butler A, Hoffman P, Smibert P, Papalexi E, Satija R",5000-10000
10.1186/1471-2105-12-77,21414208.0,PMC3068975,2011.0,5823,pROC: an open-source package for R and S+ to analyze and compare ROC curves.,,"Robin X, Turck N, Hainard A, Tiberti N, Lisacek F, Sanchez JC, Müller M",5000-10000
10.1002/14651858.ed000142,31643080.0,PMC10284251,2019.0,5742,Updated guidance for trusted systematic reviews: a new edition of the Cochrane Handbook for Systematic Reviews of Interventions.,,"Cumpston M, Li T, Page MJ, Chandler J, Welch VA, Higgins JP, Thomas J",5000-10000
10.1038/s41592-019-0686-2,32015543.0,PMC7056644,2020.0,5526,SciPy 1.0: fundamental algorithms for scientific computing in Python.,,"Virtanen P, Gommers R, Oliphant TE, Haberland M, Reddy T, Cournapeau D, Burovski E, Peterson P, Weckesser W, Bright J, van der Walt SJ, Brett M, Wilson J, Millman KJ, Mayorov N, Nelson ARJ, Jones E, Kern R, Larson E, Carey CJ, Polat İ, Feng Y, Moore EW, VanderPlas J, Laxalde D, Perktold J, Cimrman R, Henriksen I, Quintero EA, Harris CR, Archibald AM, Ribeiro AH, Pedregosa F, van Mulbregt P, ",5000-10000
10.1038/nature11632,23128226.0,PMC3498066,2012.0,5517,"An integrated map of genetic variation from 1,092 human genomes.",,", Abecasis GR, Auton A, Brooks LD, DePristo MA, Durbin RM, Handsaker RE, Kang HM, Marth GT, McVean GA",5000-10000
10.1093/nar/gky427,29788355.0,PMC6030848,2018.0,5403,SWISS-MODEL: homology modelling of protein structures and complexes.,,"Waterhouse A, Bertoni M, Bienert S, Studer G, Tauriello G, Gumienny R, Heer FT, de Beer TAP, Rempfer C, Bordoli L, Lepore R, Schwede T",5000-10000
10.1038/nprot.2015.053,25950237.0,PMC5298202,2015.0,5226,"The Phyre2 web portal for protein modeling, prediction and analysis.",,"Kelley LA, Mezulis S, Yates CM, Wass MN, Sternberg MJ",5000-10000
10.1038/nature11003,22460905.0,PMC3320027,2012.0,4928,The Cancer Cell Line Encyclopedia enables predictive modelling of anticancer drug sensitivity.,,"Barretina J, Caponigro G, Stransky N, Venkatesan K, Margolin AA, Kim S, Wilson CJ, Lehár J, Kryukov GV, Sonkin D, Reddy A, Liu M, Murray L, Berger MF, Monahan JE, Morais P, Meltzer J, Korejwa A, Jané-Valbuena J, Mapa FA, Thibault J, Bric-Furlong E, Raman P, Shipway A, Engels IH, Cheng J, Yu GK, Yu J, Aspesi P Jr, de Silva M, Jagtap K, Jones MD, Wang L, Hatton C, Palescandolo E, Gupta S, Mahan S, Sougnez C, Onofrio RC, Liefeld T, MacConaill L, Winckler W, Reich M, Li N, Mesirov JP, Gabriel SB, Getz G, Ardlie K, Chan V, Myer VE, Weber BL, Porter J, Warmuth M, Finan P, Harris JL, Meyerson M, Golub TR, Morrissey MP, Sellers WR, Schlegel R, Garraway LA",1000-5000
10.1038/nature11053,22699611.0,PMC3376388,2012.0,4246,Human gut microbiome viewed across age and geography.,,"Yatsunenko T, Rey FE, Manary MJ, Trehan I, Dominguez-Bello MG, Contreras M, Magris M, Hidalgo G, Baldassano RN, Anokhin AP, Heath AC, Warner B, Reeder J, Kuczynski J, Caporaso JG, Lozupone CA, Lauber C, Clemente JC, Knights D, Knight R, Gordon JI",1000-5000
10.1038/ng.2764,24071849.0,PMC3919969,2013.0,4206,The Cancer Genome Atlas Pan-Cancer analysis project.,,", Weinstein JN, Collisson EA, Mills GB, Shaw KR, Ozenberger BA, Ellrott K, Shmulevich I, Sander C, Stuart JM",1000-5000
10.1002/jcc.20290,16200636.0,PMC1989667,2005.0,4195,The Amber biomolecular simulation programs.,,"Case DA, Cheatham TE 3rd, Darden T, Gohlke H, Luo R, Merz KM Jr, Onufriev A, Simmerling C, Wang B, Woods RJ",1000-5000
10.1093/genetics/164.4.1567,12930761.0,PMC1462648,2003.0,4065,Inference of population structure using multilocus genotype data: linked loci and correlated allele frequencies.,,"Falush D, Stephens M, Pritchard JK",1000-5000
10.1002/jcc.21287,19444816.0,PMC2810661,2009.0,4016,CHARMM: the biomolecular simulation program.,,"Brooks BR, Brooks CL 3rd, Mackerell AD Jr, Nilsson L, Petrella RJ, Roux B, Won Y, Archontis G, Bartels C, Boresch S, Caflisch A, Caves L, Cui Q, Dinner AR, Feig M, Fischer S, Gao J, Hodoscek M, Im W, Kuczera K, Lazaridis T, Ma J, Ovchinnikov V, Paci E, Pastor RW, Post CB, Pu JZ, Schaefer M, Tidor B, Venable RM, Woodcock HL, Wu X, Yang W, York DM, Karplus M",1000-5000
10.1093/nar/gky1049,30395287.0,PMC6323992,2019.0,3990,UniProt: a worldwide hub of protein knowledge.,,,1000-5000
10.1038/nmeth.3901,27348712.0,,2016.0,3988,The Perseus computational platform for comprehensive analysis of (prote)omics data.,,"Tyanova S, Temu T, Sinitcyn P, Carlson A, Hein MY, Geiger T, Mann M, Cox J",1000-5000
10.1155/2011/156869,21253357.0,PMC3021840,2011.0,3930,"FieldTrip: Open source software for advanced analysis of MEG, EEG, and invasive electrophysiological data.",,"Oostenveld R, Fries P, Maris E, Schoffelen JM",1000-5000
10.1038/srep42717,28256516.0,PMC5335600,2017.0,3693,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules.",,"Daina A, Michielin O, Zoete V",1000-5000
10.1148/radiol.2015151169,26579733.0,PMC4734157,2016.0,3685,"Radiomics: Images Are More than Pictures, They Are Data.",,"Gillies RJ, Kinahan PE, Hricak H",1000-5000
10.1126/science.1164382,18772396.0,PMC2820389,2008.0,3685,An integrated genomic analysis of human glioblastoma multiforme.,,"Parsons DW, Jones S, Zhang X, Lin JC, Leary RJ, Angenendt P, Mankoo P, Carter H, Siu IM, Gallia GL, Olivi A, McLendon R, Rasheed BA, Keir S, Nikolskaya T, Nikolsky Y, Busam DA, Tekleab H, Diaz LA Jr, Hartigan J, Smith DR, Strausberg RL, Marie SK, Shinjo SM, Yan H, Riggins GJ, Bigner DD, Karchin R, Papadopoulos N, Parmigiani G, Vogelstein B, Velculescu VE, Kinzler KW",1000-5000
10.1186/s13643-021-01626-4,33781348.0,PMC8008539,2021.0,3566,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews.,,"Page MJ, McKenzie JE, Bossuyt PM, Boutron I, Hoffmann TC, Mulrow CD, Shamseer L, Tetzlaff JM, Akl EA, Brennan SE, Chou R, Glanville J, Grimshaw JM, Hróbjartsson A, Lalu MM, Li T, Loder EW, Mayo-Wilson E, McDonald S, McGuinness LA, Stewart LA, Thomas J, Tricco AC, Welch VA, Whiting P, Moher D",1000-5000
10.1038/s41588-018-0099-7,29686387.0,PMC6083837,2018.0,3551,Detection of widespread horizontal pleiotropy in causal relationships inferred from Mendelian randomization between complex traits and diseases.,,"Verbanck M, Chen CY, Neale B, Do R",1000-5000
10.1093/nar/gkaa1074,33237311.0,PMC7779004,2021.0,3461,"The STRING database in 2021: customizable protein-protein networks, and functional characterization of user-uploaded gene/measurement sets.",,"Szklarczyk D, Gable AL, Nastou KC, Lyon D, Kirsch R, Pyysalo S, Doncheva NT, Legeay M, Fang T, Bork P, Jensen LJ, von Mering C",1000-5000
10.1038/nature05874,17571346.0,PMC2212820,2007.0,3457,Identification and analysis of functional elements in 1% of the human genome by the ENCODE pilot project.,,", Birney E, Stamatoyannopoulos JA, Dutta A, Guigó R, Gingeras TR, Margulies EH, Weng Z, Snyder M, Dermitzakis ET, Thurman RE, Kuehn MS, Taylor CM, Neph S, Koch CM, Asthana S, Malhotra A, Adzhubei I, Greenbaum JA, Andrews RM, Flicek P, Boyle PJ, Cao H, Carter NP, Clelland GK, Davis S, Day N, Dhami P, Dillon SC, Dorschner MO, Fiegler H, Giresi PG, Goldy J, Hawrylycz M, Haydock A, Humbert R, James KD, Johnson BE, Johnson EM, Frum TT, Rosenzweig ER, Karnani N, Lee K, Lefebvre GC, Navas PA, Neri F, Parker SC, Sabo PJ, Sandstrom R, Shafer A, Vetrie D, Weaver M, Wilcox S, Yu M, Collins FS, Dekker J, Lieb JD, Tullius TD, Crawford GE, Sunyaev S, Noble WS, Dunham I, Denoeud F, Reymond A, Kapranov P, Rozowsky J, Zheng D, Castelo R, Frankish A, Harrow J, Ghosh S, Sandelin A, Hofacker IL, Baertsch R, Keefe D, Dike S, Cheng J, Hirsch HA, Sekinger EA, Lagarde J, Abril JF, Shahab A, Flamm C, Fried C, Hackermüller J, Hertel J, Lindemeyer M, Missal K, Tanzer A, Washietl S, Korbel J, Emanuelsson O, Pedersen JS, Holroyd N, Taylor R, Swarbreck D, Matthews N, Dickson MC, Thomas DJ, Weirauch MT, Gilbert J, Drenkow J, Bell I, Zhao X, Srinivasan KG, Sung WK, Ooi HS, Chiu KP, Foissac S, Alioto T, Brent M, Pachter L, Tress ML, Valencia A, Choo SW, Choo CY, Ucla C, Manzano C, Wyss C, Cheung E, Clark TG, Brown JB, Ganesh M, Patel S, Tammana H, Chrast J, Henrichsen CN, Kai C, Kawai J, Nagalakshmi U, Wu J, Lian Z, Lian J, Newburger P, Zhang X, Bickel P, Mattick JS, Carninci P, Hayashizaki Y, Weissman S, Hubbard T, Myers RM, Rogers J, Stadler PF, Lowe TM, Wei CL, Ruan Y, Struhl K, Gerstein M, Antonarakis SE, Fu Y, Green ED, Karaöz U, Siepel A, Taylor J, Liefer LA, Wetterstrand KA, Good PJ, Feingold EA, Guyer MS, Cooper GM, Asimenos G, Dewey CN, Hou M, Nikolaev S, Montoya-Burgos JI, Löytynoja A, Whelan S, Pardi F, Massingham T, Huang H, Zhang NR, Holmes I, Mullikin JC, Ureta-Vidal A, Paten B, Seringhaus M, Church D, Rosenbloom K, Kent WJ, Stone EA, , , , , , Batzoglou S, Goldman N, Hardison RC, Haussler D, Miller W, Sidow A, Trinklein ND, Zhang ZD, Barrera L, Stuart R, King DC, Ameur A, Enroth S, Bieda MC, Kim J, Bhinge AA, Jiang N, Liu J, Yao F, Vega VB, Lee CW, Ng P, Shahab A, Yang A, Moqtaderi Z, Zhu Z, Xu X, Squazzo S, Oberley MJ, Inman D, Singer MA, Richmond TA, Munn KJ, Rada-Iglesias A, Wallerman O, Komorowski J, Fowler JC, Couttet P, Bruce AW, Dovey OM, Ellis PD, Langford CF, Nix DA, Euskirchen G, Hartman S, Urban AE, Kraus P, Van Calcar S, Heintzman N, Kim TH, Wang K, Qu C, Hon G, Luna R, Glass CK, Rosenfeld MG, Aldred SF, Cooper SJ, Halees A, Lin JM, Shulha HP, Zhang X, Xu M, Haidar JN, Yu Y, Ruan Y, Iyer VR, Green RD, Wadelius C, Farnham PJ, Ren B, Harte RA, Hinrichs AS, Trumbower H, Clawson H, Hillman-Jackson J, Zweig AS, Smith K, Thakkapallayil A, Barber G, Kuhn RM, Karolchik D, Armengol L, Bird CP, de Bakker PI, Kern AD, Lopez-Bigas N, Martin JD, Stranger BE, Woodroffe A, Davydov E, Dimas A, Eyras E, Hallgrímsdóttir IB, Huppert J, Zody MC, Abecasis GR, Estivill X, Bouffard GG, Guan X, Hansen NF, Idol JR, Maduro VV, Maskeri B, McDowell JC, Park M, Thomas PJ, Young AC, Blakesley RW, Muzny DM, Sodergren E, Wheeler DA, Worley KC, Jiang H, Weinstock GM, Gibbs RA, Graves T, Fulton R, Mardis ER, Wilson RK, Clamp M, Cuff J, Gnerre S, Jaffe DB, Chang JL, Lindblad-Toh K, Lander ES, Koriabine M, Nefedov M, Osoegawa K, Yoshinaga Y, Zhu B, de Jong PJ",1000-5000
10.1093/nar/gkab1038,34723319.0,PMC8728295,2022.0,3374,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences.,,"Perez-Riverol Y, Bai J, Bandla C, García-Seisdedos D, Hewapathirana S, Kamatchinathan S, Kundu DJ, Prakash A, Frericks-Zipper A, Eisenacher M, Walzer M, Wang S, Brazma A, Vizcaíno JA",1000-5000
10.7554/elife.34408,29846171.0,PMC5976434,2018.0,3298,The MR-Base platform supports systematic causal inference across the human phenome.,,"Hemani G, Zheng J, Elsworth B, Wade KH, Haberland V, Baird D, Laurin C, Burgess S, Bowden J, Langdon R, Tan VY, Yarmolinsky J, Shihab HA, Timpson NJ, Evans DM, Relton C, Martin RM, Davey Smith G, Gaunt TR, Haycock PC",1000-5000
10.1093/nar/gkaa1100,33237286.0,PMC7778908,2021.0,3246,UniProt: the universal protein knowledgebase in 2021.,,,1000-5000
10.1038/s41598-017-17204-5,29203879.0,PMC5715110,2017.0,3209,QuPath: Open source software for digital pathology image analysis.,,"Bankhead P, Loughrey MB, Fernández JA, Dombrowski Y, McArt DG, Dunne PD, McQuaid S, Gray RT, Murray LJ, Coleman HG, James JA, Salto-Tellez M, Hamilton PW",1000-5000
10.1038/nbt.3192,25867923.0,PMC4430369,2015.0,3161,Spatial reconstruction of single-cell gene expression data.,,"Satija R, Farrell JA, Gennert D, Schier AF, Regev A",1000-5000
10.1002/0471250953.bi1110s43,25431634.0,PMC4243306,2013.0,3149,From FastQ data to high confidence variant calls: the Genome Analysis Toolkit best practices pipeline.,,"Van der Auwera GA, Carneiro MO, Hartl C, Poplin R, Del Angel G, Levy-Moonshine A, Jordan T, Shakir K, Roazen D, Thibault J, Banks E, Garimella KV, Altshuler D, Gabriel S, DePristo MA",1000-5000
10.1038/s41467-021-21246-9,33597522.0,PMC7889871,2021.0,3103,Inference and analysis of cell-cell communication using CellChat.,,"Jin S, Guerrero-Juarez CF, Zhang L, Chang I, Ramos R, Kuan CH, Myung P, Plikus MV, Nie Q",1000-5000
10.1161/cir.0b013e31828124ad,23239837.0,PMC5408511,2013.0,3092,Heart disease and stroke statistics--2013 update: a report from the American Heart Association.,,"Go AS, Mozaffarian D, Roger VL, Benjamin EJ, Berry JD, Borden WB, Bravata DM, Dai S, Ford ES, Fox CS, Franco S, Fullerton HJ, Gillespie C, Hailpern SM, Heit JA, Howard VJ, Huffman MD, Kissela BM, Kittner SJ, Lackland DT, Lichtman JH, Lisabeth LD, Magid D, Marcus GM, Marelli A, Matchar DB, McGuire DK, Mohler ER, Moy CS, Mussolino ME, Nichol G, Paynter NP, Schreiner PJ, Sorlie PD, Stein J, Turan TN, Virani SS, Wong ND, Woo D, Turner MB, ",1000-5000
10.1016/j.immuni.2018.03.023,29628290.0,PMC5982584,2018.0,3067,The Immune Landscape of Cancer.,,"Thorsson V, Gibbs DL, Brown SD, Wolf D, Bortone DS, Ou Yang TH, Porta-Pardo E, Gao GF, Plaisier CL, Eddy JA, Ziv E, Culhane AC, Paull EO, Sivakumar IKA, Gentles AJ, Malhotra R, Farshidfar F, Colaprico A, Parker JS, Mose LE, Vo NS, Liu J, Liu Y, Rader J, Dhankani V, Reynolds SM, Bowlby R, Califano A, Cherniack AD, Anastassiou D, Bedognetti D, Mokrab Y, Newman AM, Rao A, Chen K, Krasnitz A, Hu H, Malta TM, Noushmehr H, Pedamallu CS, Bullman S, Ojesina AI, Lamb A, Zhou W, Shen H, Choueiri TK, Weinstein JN, Guinney J, Saltz J, Holt RA, Rabkin CS, , Lazar AJ, Serody JS, Demicco EG, Disis ML, Vincent BG, Shmulevich I",1000-5000
10.1038/nature21056,28117445.0,PMC8382232,2017.0,3048,Dermatologist-level classification of skin cancer with deep neural networks.,,"Esteva A, Kuprel B, Novoa RA, Ko J, Swetter SM, Blau HM, Thrun S",1000-5000
10.1186/s13059-017-1382-0,29409532.0,PMC5802054,2018.0,2955,SCANPY: large-scale single-cell gene expression data analysis.,,"Wolf FA, Angerer P, Theis FJ",1000-5000
10.1093/bib/bbx108,28968734.0,PMC6781576,2019.0,2935,"MAFFT online service: multiple sequence alignment, interactive sequence choice and visualization.",,"Katoh K, Rozewicki J, Yamada KD",1000-5000
10.1007/s11192-009-0146-3,20585380.0,PMC2883932,2010.0,2870,"Software survey: VOSviewer, a computer program for bibliometric mapping.",,"van Eck NJ, Waltman L",1000-5000
10.1038/nmeth.4463,28991892.0,PMC5937676,2017.0,2822,SCENIC: single-cell regulatory network inference and clustering.,,"Aibar S, González-Blas CB, Moerman T, Huynh-Thu VA, Imrichova H, Hulselmans G, Rambow F, Marine JC, Geurts P, Aerts J, van den Oord J, Atak ZK, Wouters J, Aerts S",1000-5000
10.1038/s41586-020-2649-2,32939066.0,PMC7759461,2020.0,2746,Array programming with NumPy.,,"Harris CR, Millman KJ, van der Walt SJ, Gommers R, Virtanen P, Cournapeau D, Wieser E, Taylor J, Berg S, Smith NJ, Kern R, Picus M, Hoyer S, van Kerkwijk MH, Brett M, Haldane A, Del Río JF, Wiebe M, Peterson P, Gérard-Marchant P, Sheppard K, Reddy T, Weckesser W, Abbasi H, Gohlke C, Oliphant TE",1000-5000
10.1136/bmj.n160,33781993.0,PMC8005925,2021.0,2704,PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews.,,"Page MJ, Moher D, Bossuyt PM, Boutron I, Hoffmann TC, Mulrow CD, Shamseer L, Tetzlaff JM, Akl EA, Brennan SE, Chou R, Glanville J, Grimshaw JM, Hróbjartsson A, Lalu MM, Li T, Loder EW, Mayo-Wilson E, McDonald S, McGuinness LA, Stewart LA, Thomas J, Tricco AC, Welch VA, Whiting P, McKenzie JE",1000-5000
10.1101/gr.3715005,16024819.0,PMC1182216,2005.0,2638,"Evolutionarily conserved elements in vertebrate, insect, worm, and yeast genomes.",,"Siepel A, Bejerano G, Pedersen JS, Hinrichs AS, Hou M, Rosenbloom K, Clawson H, Spieth J, Hillier LW, Richards S, Weinstock GM, Wilson RK, Gibbs RA, Kent WJ, Miller W, Haussler D",1000-5000
10.1016/j.celrep.2016.12.019,28052254.0,,2017.0,2624,Pan-cancer Immunogenomic Analyses Reveal Genotype-Immunophenotype Relationships and Predictors of Response to Checkpoint Blockade.,,"Charoentong P, Finotello F, Angelova M, Mayer C, Efremova M, Rieder D, Hackl H, Trajanoski Z",1000-5000
10.1056/nejmoa1406498,25409260.0,PMC4315319,2014.0,2610,Genetic basis for clinical response to CTLA-4 blockade in melanoma.,,"Snyder A, Makarov V, Merghoub T, Yuan J, Zaretsky JM, Desrichard A, Walsh LA, Postow MA, Wong P, Ho TS, Hollmann TJ, Bruggeman C, Kannan K, Li Y, Elipenahli C, Liu C, Harbison CT, Wang L, Ribas A, Wolchok JD, Chan TA",1000-5000
10.1038/s41577-020-0311-8,32346093.0,PMC7187672,2020.0,2575,"The trinity of COVID-19: immunity, inflammation and intervention.",,"Tay MZ, Poh CM, Rénia L, MacAry PA, Ng LFP",1000-5000
10.1038/nm.3967,26457759.0,PMC4636487,2015.0,2567,The consensus molecular subtypes of colorectal cancer.,,"Guinney J, Dienstmann R, Wang X, de Reyniès A, Schlicker A, Soneson C, Marisa L, Roepman P, Nyamundanda G, Angelino P, Bot BM, Morris JS, Simon IM, Gerster S, Fessler E, De Sousa E Melo F, Missiaglia E, Ramay H, Barras D, Homicsko K, Maru D, Manyam GC, Broom B, Boige V, Perez-Villamil B, Laderas T, Salazar R, Gray JW, Hanahan D, Tabernero J, Bernards R, Friend SH, Laurent-Puig P, Medema JP, Sadanandam A, Wessels L, Delorenzi M, Kopetz S, Vermeulen L, Tejpar S",1000-5000
10.1016/j.media.2017.07.005,28778026.0,,2017.0,2551,A survey on deep learning in medical image analysis.,,"Litjens G, Kooi T, Bejnordi BE, Setio AAA, Ciompi F, Ghafoorian M, van der Laak JAWM, van Ginneken B, Sánchez CI",1000-5000
10.1126/science.1164368,18772397.0,PMC2848990,2008.0,2525,Core signaling pathways in human pancreatic cancers revealed by global genomic analyses.,,"Jones S, Zhang X, Parsons DW, Lin JC, Leary RJ, Angenendt P, Mankoo P, Carter H, Kamiyama H, Jimeno A, Hong SM, Fu B, Lin MT, Calhoun ES, Kamiyama M, Walter K, Nikolskaya T, Nikolsky Y, Hartigan J, Smith DR, Hidalgo M, Leach SD, Klein AP, Jaffee EM, Goggins M, Maitra A, Iacobuzio-Donahue C, Eshleman JR, Kern SE, Hruban RH, Karchin R, Papadopoulos N, Parmigiani G, Vogelstein B, Velculescu VE, Kinzler KW",1000-5000
10.1186/1748-7188-6-26,22115189.0,PMC3319429,2011.0,2485,ViennaRNA Package 2.0.,,"Lorenz R, Bernhart SH, Höner Zu Siederdissen C, Tafer H, Flamm C, Stadler PF, Hofacker IL",1000-5000
10.1093/nar/gkac1052,36408920.0,PMC9825514,2023.0,2449,UniProt: the Universal Protein Knowledgebase in 2023.,,,1000-5000
10.1038/nature24277,29022597.0,PMC5776756,2017.0,2368,Genetic effects on gene expression across human tissues.,,", , , , , , , , , , , , , , , , , , , , , , , Battle A, Brown CD, Engelhardt BE, Montgomery SB",1000-5000
10.1186/gb-2014-15-3-r46,24580807.0,PMC4053813,2014.0,2258,Kraken: ultrafast metagenomic sequence classification using exact alignments.,,"Wood DE, Salzberg SL",1000-5000
10.1038/nature18933,27437579.0,PMC4990127,2016.0,2214,A multi-modal parcellation of human cerebral cortex.,,"Glasser MF, Coalson TS, Robinson EC, Hacker CD, Harwell J, Yacoub E, Ugurbil K, Andersson J, Beckmann CF, Jenkinson M, Smith SM, Van Essen DC",1000-5000
10.1126/science.aaz1776,32913098.0,PMC7737656,2020.0,2203,The GTEx Consortium atlas of genetic regulatory effects across human tissues.,,,1000-5000
10.1038/nbt.3437,26780180.0,PMC4744125,2016.0,2196,Optimized sgRNA design to maximize activity and minimize off-target effects of CRISPR-Cas9.,,"Doench JG, Fusi N, Sullender M, Hegde M, Vaimberg EW, Donovan KF, Smith I, Tothova Z, Wilen C, Orchard R, Virgin HW, Listgarten J, Root DE",1000-5000
